Classification,Category,Subcategory,Definition,Compliant (Yes-1/No-0),Notes
ph-core recommendations,Module,Documentation,Input and output tuples must be split into separate entries,,
ph-core recommendations,Module,Documentation,"Input/output types must only be of the following categories: map, file, directory, string, boolean, integer, float, boolean, list",,
ph-core recommendations,Module,Documentation,Input/output entries MUST match a corresponding channel in the module itself,,
ph-core recommendations,Module,Documentation,Input/output patterns (if present) must follow a Java glob pattern,,
ph-core recommendations,Module,Documentation,"Keywords should be sufficient to make the module findable through research domain, data types, and tool function keywords",,
ph-core recommendations,Module,Documentation,Input and output sections of the meta.yaml should only have entries of input and output channels,,
ph-core recommendations,Module,Documentation,Input/output descriptions should be descriptive of the contents of file,,
ph-core recommendations,Module,Documentation,Confirm version is documented correctly in the versions.yml file. There should not be a v in front of the version number.,,
ph-core recommendations,Module,Documentation,Input entries should be marked as Mandatory or Optional,,
ph-core recommendations,Module,Testing,A stub test must exist for the module,,
ph-core recommendations,Module,Testing,Tags for any dependent modules must be specified to ensure changes to upstream modules will re-trigger tests for the current module.,,
ph-core recommendations,Module,Testing,"The assertAll() function must be used to specify an assertion, and there must be a minimum of one success assertion and versions in the snapshot",,
ph-core recommendations,Module,Testing,"Only one snapshot is allowed per module test, which should contain all assertions present in this test.",,
ph-core recommendations,Module,Testing,There should be a test and assertions for each type of input and output,,
ph-core recommendations,Module,Testing,Test names should describe the test dataset and configuration used.,,
ph-core recommendations,Module,Testing,Input data should be referenced with the modules_testdata_base_path parameter,,
ph-core recommendations,Module,I/O options,Preferentially use params.publish.dir mode instead of hard coded copy setting,,
ph-core recommendations,Module,I/O options,Input channel path declarations must be defined for all possible input files (i.e. both required and optional files),,
ph-core recommendations,Module,I/O options,"Options, flags, parameters that are not required by the tool to function should not be included as a val channel input- rather these can be passed via ext.args",,
ph-core recommendations,Module,I/O options,"Named file extensions should generally be emitted for all output channels(e.g. path ""*.txt"", emit:txt), but there can be exceptions, such as when the output is a dataset/directory(e.g., $prefix:directory from nextclade_datasetget)",,
ph-core recommendations,Module,I/O options,Generic auxiliary files used across different input files (e.g. common reference sequences) may be defined using a dedicated input channel (e.g. reference files),,
ph-core recommendations,Module,I/O options,"Input channel val declarations should be defined for all mandatory non-file inputs that are essential for the functioning of the tool (e.g. parameters, flags etc)",,
ph-core recommendations,Module,I/O options,"Optional inputs are not currently supported by Nextflow. However, passing an empty list ([]) instead of a file as a module parameter can be used to work around this issue",,
ph-core recommendations,Module,I/O options,Optional outputs should be marked as optional,,
ph-core recommendations,Module,I/O options,"Each output file type should be emitted in its own channel (and no more than one), along with the meta map if provided ( the exception is the versions.yml). ",,
ph-core recommendations,Module,Naming conventions,"Directory structure for the module name must be all lowercase, and without punctuation, e.g. modules/nf-core/bwa/mem/. The name of the software (i.e. bwa) and tool (i.e. mem) MUST be all one word",,
ph-core recommendations,Module,Naming conventions,Process name in the module file must be all uppercase e.g. process BWA_MEM {. The name of the software (i.e. BWA) and tool (i.e. MEM) MUST be all one word separated by an underscore,,
ph-core recommendations,Module,Naming conventions,Parameter names must follow the snake_case convention,,
ph-core recommendations,Module,Naming conventions,Function names must follow the camelCase convention,,
ph-core recommendations,Module,Naming conventions,Channel names must follow snake_case convention and be all lower case,,
ph-core recommendations,Module,Naming conventions,"Output file (and/or directory) names should generally consist of only ${prefix} and the file-format_suffix(e.g., ${prefix}.fq.gz), but there can be exceptions, such as when the output is a dataset/directory(e.g., $prefix:directory from nextclade_datasetget)",,
ph-core recommendations,Module,Parameters,All params within the module must only be initialised and used in the local context of the module. ,,
ph-core recommendations,Module,Parameters,Any parameters that need to be evaluated in the context of a particular sample e.g. single-end/paired-end data must also be defined within the process,,
ph-core recommendations,Module,Parameters,A module file should only define input and output files as command-line parameters to be executed within the process,,
ph-core recommendations,Module,Resource requirements,"An appropriate resource label must be provided for the module as listed in the nf-core pipeline template e.g. process_single, process_low, process_medium or process_high",,
ph-core recommendations,Module,Resource requirements,If the tool supports multi-threading then you must provide the appropriate parameter using the Nextflow task variable e.g. --threads $task.cpus,,
ph-core recommendations,Module,Resource requirements,"If the tool does not support multi-threading, consider process_single unless large amounts of RAM are required",,
ph-core recommendations,Module,Resource requirements,"If a module contains multiple tools that supports multi-threading (e.g. piping output into a samtools command), you can assign CPUs per tool",,
ph-core recommendations,Module,Software requirements,Software requirements should be declared within the module file using the Nextflow container directive,,
ph-core recommendations,Module,Software requirements,"If required, multi-tool containers may also be available on BioContainers e.g. bwa and samtools.",,
ph-core recommendations,Module,Software requirements,It is also possible for a new multi-tool container to be built and added to BioContainers by submitting a pull request on their multi-package-containers repository.,,
ph-core recommendations,Test Data,Test Data,The new test data file within a branch (modules or pipelines) should not replicate existing test-data unless absolutely necessary,,
ph-core recommendations,Test Data,Test Data,Test data must be publicly available and have licenses to allow public reuse,,
ph-core recommendations,Test Data,Test Data,Test data should be as small as possible,,
ph-core recommendations,Test Data,Test Data,"Test data files SHOULD be described on the given branch’s README file, describing source, how generated, licenses etc.",,
ph-core recommendations,Test Data,Test Data,"When it is applicable, pre-existing files from nf-core/test-datasets will be reused if at all possible.",,
ph-core recommendations,Test Data,Test Data,Test data files must have an entry in the nf-core/test-datasets repo README,,
ph-core recommendations,Test Data,Test Data,"It may not be possible to add test data for some modules e.g. if the input data is too large or requires a local database. In these scenarios, it is recommended to use the Nextflow stub feature to test the module. ",,
ph-core recommendations,Test Data,Test Data,"Files should be generally organised based on existing structure, typically (for bioinformatics pipelines) by discipline, organism, platform or format",,
ph-core recommendations,Test Data,Test Data,Downstream or related test-data files should be named based on the upstream file name,,
ph-core recommendations,Test Data,Test Data,"Implement the filtering logic if proper test samples are available, ensuring that the workflow can fail gracefully in the event of errors or invalid inputs (e.g., Adding warning messages when encountering insufficient data)",,
